mysql> select * from extractLogInfo;
+-----+-----------------------------------------------------------------------------------------------+-----------+--------+
| ID  | msg                                                                                           | logInfoID | dictID |
|  87 |  Starting Session 1265 of user root.                                                          |      7143 |      2 |
|  88 | Started Session 1265 of user root.                                                            |      7144 |      1 |
|  89 | Starting Session 1265 of user root.                                                           |      7145 |      2 |
|  90 |  pam_unix(sshd:session): session opened for user root by (uid=0)                              |      7146 |     20 |
|  91 | pam_unix(sshd:session): session opened for user root by (uid=0)                               |      7147 |     20 |
|  92 |  dbus[987]: [system] Activating service name='org.freedesktop.problems' (using servicehelper) |      7148 |     24 |
|  93 | dbus[987]: [system] Activating service name='org.freedesktop.problems' (using servicehelper)  |      7149 |     24 |
|  94 |  [system] Activating service name='org.freedesktop.problems' (using servicehelper)            |      7150 |     24 |
|  95 | [system] Activating service name='org.freedesktop.problems' (using servicehelper)             |      7151 |     24 |
|  96 |  [system] Successfully activated service 'org.freedesktop.problems'                           |      7152 |     25 |
|  97 | [system] Successfully activated service 'org.freedesktop.problems'                            |      7153 |     25 |
|  98 |  dbus[987]: [system] Successfully activated service 'org.freedesktop.problems'                |      7154 |     25 |
|  99 | dbus[987]: [system] Successfully activated service 'org.freedesktop.problems'                 |      7155 |     25 |
| 100 |  Started Session 1266 of user root.                                                           |      7156 |      1 |
| 101 |  Starting Session 1266 of user root.                                                          |      7157 |      2 |
| 102 | Started Session 1266 of user root.                                                            |      7158 |      1 |
| 103 | Starting Session 1266 of user root.                                                           |      7159 |      2 |
| 104 |  Started Session 1267 of user root.                                                           |      7160 |      1 |
| 105 | Started Session 1267 of user root.                                                            |      7161 |      1 |
| 106 |  Starting Session 1267 of user root.                                                          |      7162 |      2 |
| 107 | Starting Session 1267 of user root.                                                           |      7163 |      2 |
| 108 |  (root) CMD (ntpdate 0.asia.pool.ntp.org)                                                     |      7164 |      3 |
| 109 |  (root) CMD (/usr/lib64/sa/sa1 1 1)                                                           |      7165 |      4 |
| 110 | (root) CMD (ntpdate 0.asia.pool.ntp.org)                                                      |      7166 |      3 |
| 111 | (root) CMD (/usr/lib64/sa/sa1 1 1)                                                            |      7167 |      4 |
| 112 |  (root) CMDOUT (/bin/sh: ntpdate: command not found)                                          |      7168 |      5 |
| 113 | (root) CMDOUT (/bin/sh: ntpdate: command not found)                                           |      7169 |      5 |
| 114 |  -- MARK --                                                                                   |      7170 |      6 |
| 115 |  Started Session 1268 of user root.                                                           |      7171 |      1 |
| 116 |  Starting Session 1268 of user root.                                                          |      7172 |      2 |
| 117 | Started Session 1268 of user root.                                                            |      7173 |      1 |
| 118 | Starting Session 1268 of user root.                                                           |      7174 |      2 |
| 119 |  Started Session 1269 of user root.                                                           |      7175 |      1 |
| 120 | Started Session 1269 of user root.                                                            |      7176 |      1 |
| 121 |  Starting Session 1269 of user root.                                                          |      7177 |      2 |
