mysql> select ID,timestamp ,   syslogseverity ,syslogfacility ,msg  from logInfo where ID >=7057;
+------+---------------------+----------------+----------------+-----------------------------------------------------------------------------------------------+
| ID   | timestamp           | syslogseverity | syslogfacility | msg                                                                                           |
| 7118 | 2016-08-11 03:20:01 |              6 |              6 | (root) CMD (/usr/lib64/sa/sa1 1 1)                                                            |
| 7119 | 2016-08-11 03:20:01 |              6 |              6 | (root) CMD (ntpdate 0.asia.pool.ntp.org)                                                      |
| 7120 | 2016-08-11 03:20:01 |              6 |              6 |  (root) CMDOUT (/bin/sh: ntpdate: command not found)                                          |
| 7121 | 2016-08-11 03:20:01 |              6 |              6 | (root) CMDOUT (/bin/sh: ntpdate: command not found)                                           |
| 7122 | 2016-08-12 00:26:11 |              6 |              6 |  -- MARK --                                                                                   |
| 7123 | 2016-08-11 03:30:01 |              6 |              6 |  Started Session 1263 of user root.                                                           |
| 7124 | 2016-08-11 03:30:01 |              6 |              6 | Started Session 1263 of user root.                                                            |
| 7125 | 2016-08-11 03:30:01 |              6 |              6 |  Starting Session 1263 of user root.                                                          |
| 7126 | 2016-08-11 03:30:01 |              6 |              6 | Starting Session 1263 of user root.                                                           |
| 7127 | 2016-08-11 03:30:01 |              6 |              6 |  Started Session 1264 of user root.                                                           |
| 7128 | 2016-08-11 03:30:01 |              6 |              6 |  Starting Session 1264 of user root.                                                          |
| 7129 | 2016-08-11 03:30:01 |              6 |              6 | Started Session 1264 of user root.                                                            |
| 7130 | 2016-08-11 03:30:01 |              6 |              6 | Starting Session 1264 of user root.                                                           |
| 7131 | 2016-08-11 03:30:01 |              6 |              6 |  (root) CMD (ntpdate 0.asia.pool.ntp.org)                                                     |
| 7132 | 2016-08-11 03:30:01 |              6 |              6 | (root) CMD (ntpdate 0.asia.pool.ntp.org)                                                      |
| 7133 | 2016-08-11 03:30:01 |              6 |              6 |  (root) CMD (/usr/lib64/sa/sa1 1 1)                                                           |
| 7134 | 2016-08-11 03:30:01 |              6 |              6 | (root) CMD (/usr/lib64/sa/sa1 1 1)                                                            |
| 7135 | 2016-08-11 03:30:01 |              6 |              6 |  (root) CMDOUT (/bin/sh: ntpdate: command not found)                                          |
| 7136 | 2016-08-11 03:30:01 |              6 |              6 | (root) CMDOUT (/bin/sh: ntpdate: command not found)                                           |
| 7137 | 2016-08-11 03:30:57 |              6 |              6 | -- MARK --                                                                                    |
| 7138 | 2016-08-11 03:34:34 |              6 |              6 |  Accepted password for root from 172.16.0.243 port 55896 ssh2                                 |
| 7139 | 2016-08-11 03:34:34 |              6 |              6 | Accepted password for root from 172.16.0.243 port 55896 ssh2                                  |
| 7140 | 2016-08-11 03:34:34 |              6 |              6 |  New session 1265 of user root.                                                               |
| 7141 | 2016-08-11 03:34:34 |              6 |              6 | New session 1265 of user root.                                                                |
| 7142 | 2016-08-11 03:34:34 |              6 |              6 |  Started Session 1265 of user root.                                                           |
| 7143 | 2016-08-11 03:34:34 |              6 |              6 |  Starting Session 1265 of user root.                                                          |
| 7144 | 2016-08-11 03:34:34 |              6 |              6 | Started Session 1265 of user root.                                                            |
| 7145 | 2016-08-11 03:34:34 |              6 |              6 | Starting Session 1265 of user root.                                                           |
| 7146 | 2016-08-11 03:34:34 |              6 |              6 |  pam_unix(sshd:session): session opened for user root by (uid=0)                              |
| 7147 | 2016-08-11 03:34:34 |              6 |              6 | pam_unix(sshd:session): session opened for user root by (uid=0)                               |
| 7148 | 2016-08-11 03:34:34 |              6 |              6 |  dbus[987]: [system] Activating service name='org.freedesktop.problems' (using servicehelper) |
| 7149 | 2016-08-11 03:34:34 |              6 |              6 | dbus[987]: [system] Activating service name='org.freedesktop.problems' (using servicehelper)  |
| 7150 | 2016-08-11 03:34:34 |              5 |              5 |  [system] Activating service name='org.freedesktop.problems' (using servicehelper)            |
| 7151 | 2016-08-11 03:34:34 |              5 |              5 | [system] Activating service name='org.freedesktop.problems' (using servicehelper)             |
| 7152 | 2016-08-11 03:34:34 |              5 |              5 |  [system] Successfully activated service 'org.freedesktop.problems'                           |
| 7153 | 2016-08-11 03:34:34 |              5 |              5 | [system] Successfully activated service 'org.freedesktop.problems'                            |
| 7154 | 2016-08-11 03:34:34 |              6 |              6 |  dbus[987]: [system] Successfully activated service 'org.freedesktop.problems'                |
| 7155 | 2016-08-11 03:34:34 |              6 |              6 | dbus[987]: [system] Successfully activated service 'org.freedesktop.problems'                 |
| 7156 | 2016-08-11 03:40:01 |              6 |              6 |  Started Session 1266 of user root.                                                           |
| 7157 | 2016-08-11 03:40:01 |              6 |              6 |  Starting Session 1266 of user root.                                                          |
| 7158 | 2016-08-11 03:40:01 |              6 |              6 | Started Session 1266 of user root.                                                            |
| 7159 | 2016-08-11 03:40:01 |              6 |              6 | Starting Session 1266 of user root.                                                           |
| 7160 | 2016-08-11 03:40:01 |              6 |              6 |  Started Session 1267 of user root.                                                           |
| 7161 | 2016-08-11 03:40:01 |              6 |              6 | Started Session 1267 of user root.                                                            |
| 7162 | 2016-08-11 03:40:01 |              6 |              6 |  Starting Session 1267 of user root.                                                          |
| 7163 | 2016-08-11 03:40:01 |              6 |              6 | Starting Session 1267 of user root.                                                           |
